id,doi,title,source,year
ILL15AB7070,10.1107/s1600576715012273,On the design and experimental realization of a multislit-based very small angle neutron scattering,Journal of Applied Crystallography,2015
ILL15AB193,10.1021/ma502246r,Is osmotic pressure relevant in the mechanical confinement of a polymer brush?,Macromolecules,2015
ILL16AB1026,10.1038/nphys3238,Modulated magnetism in PrPtAl,Nature Physics,2015
ILL15AB238,10.1016/j.jallcom.2015.01.162,Single-crystal and powder neutron diffraction study of the FeXMn1-XS solid solutions,Journal of Alloys and Compounds,2015
ILL15AD6007,10.1107/s1600576714027848,Towards neutron scattering experiments with sub-millisecond time resolution,Journal of Applied Crystallography,2015
ILL15AD309,10.1103/physrevb.91.134425,Muon spin rotation and neutron scattering study of the noncentrosymmetric tetragonal compound CeAuAl,Physical Review B,2015
ILL15AD380,10.1103/physrevb.92.094425,Contrasting effect of La substitution on the magnetic moment direction in the Kondo semiconductors C,Physical Review B,2015
ILL15AF6081,10.1103/physrevd.92.052008,Gravitational depolarization of ultracold neutrons: Comparison with data,Physical Review D,2015
ILL15AF6075,10.1140/epjd/e2015-60207-4,Measurement of a false electric dipole moment signal from 199Hg atoms exposed to an inhomogeneous ma,European Physical Journal D,2015
ILL15AF392,10.1140/epja/i2015-15143-7,A device for simultaneous spin analysis of ultracold neutrons,European Physical Journal A,2015
doc:PUB_ILL:29370,10.1039/c5cp03825a,The effect of lithium salt doping on the nanostructure of ionic liquids,Physical Chemistry Chemical Physics,2015
ILL15AH197,10.1021/cm5043149,Unraveling the structure of iron(III) oxalate tetrahydrate and its reversible Li insertion capabilit,Chemistry of Materials,2015
ILL16AL7053,,,,2015
ILL16AL7009,10.3367/ufne.0185.201504b.0353,High borides: Determining the features and details of lattice dynamics from neutron spectroscopy,Physics-Uspekhi,2015
doc:PUB_ILL:25172,,Long Range Order and Spin-Fluctuations in Strongly Correlated Electron System with Valence Instabili,Physics Procedia,2015
ILL15AL441,10.1016/j.febslet.2015.09.014,Structural insights into the loss of catalytic competence in pectate lyase activity at low pH,FEBS Letters,2015
ILL15AL1094,10.1039/c5dt00238a,Crystal structure of A-site deficient La0.2Sr0.7-xCaxTiO3 perovskite at ambient conditions and high,Dalton Transactions,2015
ILL15AL231,10.1140/epjc/s10052-015-3329-5,"HOLMES
The electron capture decay of 163Ho to measure the electron neutrino mass with sub-eV sensiti",European Physical Journal C,2015
ILL16AL163,10.1088/0022-3727/48/50/504008,High pressure single crystal X-ray and neutron powder diffraction study of the ferroelectric–paraele,Journal of Physics D,2015
ILL15AM1113,10.1021/acs.chemmater.5b00470,Singular structural and electrochemical properties in highly defective LiFePO4 powders,Chemistry of Materials,2015
ILL15AN409,10.1103/physrevb.92.184418,Observation of long-range magnetic ordering in pyrohafnate Nd2Hf2O7: A neutron diffraction study,Physical Review B,2015
ILL15AN1144,10.1103/physrevb.92.134403,Field-induced spin reorientation in[Fe/Cr]n multilayers studied by nuclear resonance reflectivity,Physical Review B,2015
doc:PUB_ILL:29001,10.1016/j.bbapap.2015.08.009,Small-angle neutron scattering reveals the assembly of alpha-synuclein in lipid membranes,Biochim. Biophys. Acta,2015
ILL15AO184,10.1021/acs.jpcb.5b00020,Structure and dynamics of ionic micelles: MD simulation and neutron scattering study,Journal of Physical Chemistry B,2015
ILL15AP259,10.1051/epjconf/20158302001,Direct observation of electronic and nuclear ground state splitting in external magnetic field by in,EPJ Web of Conferences,2015
ILL15AP202,10.1063/1.4915067,Molecular ring rotation in solid ferrocene revisited,Journal of Chemical Physics,2015
ILL15AP2004,,Ring rotation in ferrocene and ferrocene-containing polymers,,2015
ILL16AR1038,10.1021/ic502012p,Spin-glass behavior and incommensurate modulation in high-pressure perovskite BiCr0.5Ni0.5O3,Inorganic Chemistry,2015
ILL16AR1027,10.1002/anie.201506540,Large magnetization and frustration switching of magnetoresistance in the double-perovskite ferrimag,Angewandte Chemie International Edition,2015
ILL15AR7056,10.1016/j.nima.2015.08.006,Development of time projection chamber for precise neutron lifetime measurement using pulsed cold ne,Nuclear Instruments and Methods in Physics Research A,2015
ILL15AR6093,10.1038/srep07720,Pressure control of magnetic clusters in strongly inhomogeneous ferromagnetic chalcopyrites,Scientific Reports,2015
ILL15AR7055,10.1016/j.nima.2015.06.008,Thermal neutron flux monitors based on vibrating wire,Nuclear Instruments and Methods in Physics Research A,2015
ILL15AR275,10.1016/j.physletb.2015.04.021,A measurement of the neutron lifetime using the method of storage of ultracold neutrons and detectio,Physics Letters B,2015
ILL15AS7002,10.1016/j.nima.2014.09.076,Method of fission product beta spectra measurements for predicting reactor anti-neutrino emission,Nuclear Instruments and Methods in Physics Research A,2015
ILL15AS1086,10.1002/pola.27650,Synthesis of partially fluorinated poly(arylene ether sulfone) multiblock copolymers bearing perfluo,Journal of Polymer Science A,2015
ILL15AS1111,10.1021/acsami.5b01835,Effects of block length and membrane processing conditions on the morphology and properties of perfl,ACS Applied Materials & Interfaces,2015
doc:PUB_ILL:25235,10.1021/acsami.5b01835,Effects of Block Length and Membrane Processing Conditions on the Morphology and Properties of Perfl,ACS Applied Materials & Interfaces,2015
ILL15AU1047,10.1107/s1600576714027976,Neutron Laue diffraction study of the complex low-temperature magnetic behaviour of brownmillerite-t,Journal of Applied Crystallography,2015
ILL15AU103,10.1016/j.jnoncrysol.2014.08.045,From the capillary condensation to the glass transition of a confined molecular liquid: Case of tolu,Journal of Non-Crystalline Solids,2015
ILL15AU384,10.1063/1.4931615,Substitution site and effects on magnetism in Sr-for-Ca substituted CaBaCo4O7,Journal of Applied Physics,2015
ILL15AV1136,10.1016/j.apsusc.2015.02.170,Comparative structure analysis of magnetic fluids at interface with silicon by neutron reflectometry,Applied Surface Science,2015
doc:PUB_ILL:25174,10.1039/c4dt03112a,Complex magnetic behaviour of Sr2CoNb1−xTixO6(0 ≤ x ≤ 0.5) as a result of a flexible microstructure,Dalton Transactions,2015
ILL15AZ221,10.1039/c4dt03112a,Complex magnetic behaviour of Sr2CoNb1-xTixO6 (0 ≤ x ≤ 0.5) as a result of a flexible microstructure,Dalton Transactions,2015
ILL15BA136,10.1103/physrevd.91.042006,Frequency shifts in gravitational resonance spectroscopy,Physical Review D,2015
ILL17BA2003,,Molecular diffusion on surfaces of carbon materials : Spectroscopic and theoretical studies,,2015
ILL15BA7061,10.1103/physrevd.91.065002,Reference worldwide model for antineutrinos from reactors,Physical Review D,2015
ILL15BA177,10.1103/physrevlett.114.117601,Evidence for room temperature electric polarization in RMn2O5 multiferroics,Physical Review Letters,2015
ILL15BA345,10.1021/acs.macromol.5b01424,Origin of small-angle scattering from contrast-matched nanoparticles: A study of chain and filler st,Macromolecules,2015
ILL15BA1150,10.1088/1742-6596/663/1/012014,Neutron and synchrotron studies of structure and magnetism of shape memory alloys,Journal of Physics : Conference Series,2015
ILL15BA7067,10.1016/j.phpro.2015.07.054,Wave effect neutron radiographic imaging origins in WCNR and prospects for low cost systems,Physics Procedia,2015
ILL15BA1055,10.1016/j.jssc.2015.03.022,Structure and magnetism of Sr3NiSb2O9,Journal of Solid State Chemistry,2015
ILL15BA1117,10.1038/ncomms9117,Sliding tethered ligands add topological interactions to the toolbox of ligand-receptor design,Nature Communications,2015
ILL15BA289,10.1103/physrevb.91.214415,Magnetic structure and multiferroic coupling in pyroxene NaFeSi2O6,Physical Review B,2015
ILL15BA254,10.1051/epjconf/20159301042,"High precision γ spectroscopy of 69,71Zn from (n, γ) reactions using EXILL",EPJ Web of Conferences,2015
ILL15BA313,10.1103/physrevc.91.047302,Near-yrast excitations in nucleus 83As: Tracing the πg9/2 orbital in the 78Ni region,Physical Review C,2015
ILL15BE339,10.1080/10448632.2015.1057049,The H5 guide system-the latest innovative guide system at the ILL,Neutron News,2015
doc:PUB_ILL:25016,10.1080/10448632.2015.1057049,The H5 guide system—the latest innovative guide system at the ILL,Neutron News,2015
ILL15BE1054,10.1016/j.cis.2015.01.007,Understanding nanoparticle cellular entry: A physicochemical perspective,Advances in Colloid and Interface Science,2015
ILL15BE331,10.1039/c5sm00274e,The component group structure of DPPC bilayers obtained by specular neutron reflectometry,Soft Matter,2015
ILL15BE1084,10.1107/s1600576714024960,High-efficiency diffraction and focusing of X-rays through asymmetric bent crystalline planes,Journal of Applied Crystallography,2015
ILL15BE284,10.1016/j.jallcom.2015.07.034,"Enhanced relative cooling power of Fe-doped La0.67Sr0.22Ba0.11Mn1-xFexO3 perovskites: Structural, ma",Journal of Alloys and Compounds,2015
ILL15BE315,10.1063/1.4930175,Enhancement of magnetoresistance and ferromagnetic coupling in the complex perovskites CaCu3(Mn4-xAl,Journal of Applied Physics,2015
ILL16BE131,10.1039/c5nr04243g,Excitation of Ni nanorod colloids in oscillating magnetic fields: A new approach for nanosensing inv,Nanoscale,2015
doc:PUB_ILL:34404,,Structure and dynamics of POPC bilayers in water solutions of room temperature ionic liquids,The Journal of Chemical Physics,2015
ILL16BE360,10.1038/srep08972,How mobile are protons in the structure of dental glass ionomer cements?,Scientific Reports,2015
ILL15BE306,10.1103/physrevb.91.144414,Consequences of critical interchain couplings and anisotropy on a Haldane chain,Physical Review B,2015
ILL15BE1068,10.1088/2053-1591/2/2/026102,Controlling structural distortion in the geometrically frustrated layered cobaltate YBaCo4O7+δ by Fe,Materials Research Express,2015
ILL16BE6069,10.1038/nnano.2015.27,Light-emitting self-assembled peptide nucleic acids exhibit both stacking interactions and Watson-Cr,Nature Nanotechnology,2015
ILL16BE1016,10.1103/physrevb.92.184431,Separating the ferromagnetic and glassy behavior within the metal-organic magnet Ni(TCNQ)2,Physical Review B,2015
ILL15BE156,10.1051/epjconf/20158302002,QENS investigation of proton confined motions in hydrated perfluorinated sulfonic membranes and self,EPJ Web of Conferences,2015
ILL15BE346,10.1021/acs.macromol.5b00770,Nanostructure and transport properties of proton conducting self-assembled perfluorinated surfactant,Macromolecules,2015
doc:PUB_ILL:25231,10.1021/acs.macromol.5b00770,Nanostructure and Transport Properties of Proton Conducting Self-Assembled Perfluorinated Surfactant,Macromolecules - Benoit H./Rempp P. - Pergamon Press - 1982 - 20.9/44,2015
ILL15BE378,10.1103/physrevb.92.144423,Nd2Sn2O7: An all-in–all-out pyrochlore magnet with no divergence-free field and anomalously slow par,Physical Review B,2015
ILL15BE357,10.1021/acs.langmuir.5b00936,Nanodisc films for membrane protein studies by neutron reflection: Effect of the protein scaffold ch,Langmuir,2015
ILL15BE255,10.1051/epjconf/20159301045,Levels of 186Re populated in thermal neutron capture reaction,EPJ Web of Conferences,2015
ILL15BI2018,,In Situ diffraction studies of electrode materials for Li-ion and Na-ion batteries,,2015
ILL19BI6010,10.1021/acs.chemmater.5b00361,Comprehensive investigation of the Na3V2(PO4)2F3-NaV2(PO4)2F3 system by operando high resolution syn,Chemistry of Materials,2015
ILL16BI178,10.1107/s2052520615017199,Spinel materials for Li-ion batteries: New insights obtained by operando neutron and synchrotron X-r,Acta Crystallographica B,2015
ILL15BI391,10.1088/1748-0221/10/10/p10019,Investigation of background in large-area neutron detectors due to alpha emission from impurities in,Journal of Instrumentation,2015
ILL15BL443,10.1107/s2052252515011239,"Sub-atomic resolution X-ray crystallography and neutron crystallography: Promise, challenges and pot",IUCrJ,2015
ILL15BL250,10.1051/epjconf/20159301015,From EXILL (EXogam at the ILL) to FIPPS (FIssion Product Prompt γ-ray Spectrometer),EPJ Web of Conferences,2015
ILL15BL2005,,"Biochemical, biophysical, and structural studies of a protein complex implicated in the erythrocyte",,2015
ILL20BL6084,10.1088/1742-6596/663/1/012010,Low-energy spin-wave excitations in amplitude-modulated magnetic structure of PrNi2Si2,Journal of Physics : Conference Series,2015
ILL15BL1092,10.1039/c4dt03880k,Synthesis and characterization of the new two-dimensional Heisenberg antiferromagnet double perovski,Dalton Transactions,2015
ILL15BL7073,10.1063/1.4918973,Soft chemical control of the crystal and magnetic structure of a layered mixed valent manganite oxid,APL Materials,2015
ILL15BL319,10.1063/1.4926403,Evidence of large magneto-dielectric effect coupled to a metamagnetic transition in Yb2CoMnO6,Applied Physics Letters,2015
ILL15BO419,10.5506/aphyspolb.46.647,Study of low-spin states in Ca isotopes via neutron capture reactions,Acta Physica Polonica B,2015
ILL15BO343,10.1080/10448632.2015.1057050,ThALES-Three Axis Low Energy Spectroscopy for highly correlated electron systems,Neutron News,2015
ILL15BO6047,10.1016/j.nimb.2015.06.017,Why neutron guides may end up breaking down? Some results on the macroscopic behaviour of alkali-bor,Nuclear Instruments and Methods in Physics Research B,2015
doc:PUB_ILL:25127,10.1103/physrevb.91.220408,Haydeeite: A spin-12kagome ferromagnet,Physical Review B,2015
ILL15BO274,10.1103/physrevb.91.220408,Haydeeite: A spin-12kagome ferromagnet,Physical Review B,2015
ILL15BO6038,10.1007/978-3-642-55315-8_28,Catalyst characterization by XAS and XES spectroscopies: In situ and operando experiments,,2015
ILL15BO120,10.1016/j.jnucmat.2015.02.036,SANS examination of irradiated RPV steel welds during in-situ annealing,Journal of Nuclear Materials,2015
ILL15BO185,10.1103/physrevb.91.094201,Localized Bose-Einstein condensation in disordered liquid 4He films,Physical Review B,2015
ILL15BO123,10.1039/c4sm01705f,Structural heterogeneity of milk casein micelles: A SANS contrast variation study,Soft Matter,2015
ILL15BO6061,10.1063/1.4929950,Entropy change of a Ni45.5Co4.5Mn37In13 single crystal studied by scanning calorimetry in high magne,Applied Physics Letters,2015
ILL15BO322,10.1039/c5cp02900g,From crystal to glass-like thermal conductivity in crystalline minerals,Physical Chemistry Chemical Physics,2015
