id,doi,title,type,source,year
openalex.org/W1842831993,10.1038/nmat4402,Néel-type skyrmion lattice with confined orientation in the polar magnetic semiconductor GaV4S8,article,1476-1122 | Nature Materials,2015
openalex.org/W2003370886,10.1039/c4cc09944c,Complete structure and cation orientation in the perovskite photovoltaic methylammonium lead iodide between 100 and 352 K,article,1359-7345 | Chemical Communications,2015
openalex.org/W1879058903,10.1103/physrevd.92.092003,Revised experimental upper limit on the electric dipole moment of the neutron,article,"1550-2368 | Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D, Particles, fields, gravitation, and cosmology",2015
openalex.org/W1873357038,10.1016/j.matdes.2015.09.115,A comparative study of additive manufacturing techniques: Residual stress and microstructural analysis of CLAD and WAAM printed Ti–6Al–4V components,article,0264-1275 | Materials & Design,2015
openalex.org/W1546945021,10.1038/nmat4492,"Strong interplay between stripe spin fluctuations, nematicity and superconductivity in FeSe",article,1476-1122 | Nature Materials,2015
openalex.org/W2334175352,10.1021/acs.chemmater.5b00361,Comprehensive Investigation of the Na<sub>3</sub>V<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>3</sub>–NaV<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>3</sub> System by Operando High Resolution Synchrotron X-ray Diffraction,article,0897-4756 | Chemistry of Materials,2015
openalex.org/W2280500601,10.1103/physrevb.92.224408,"Magnetic structure of the quasi-two-dimensional antiferromagnet<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mtext>NiPS</mml:mtext><mml:mn>3</mml:mn></mml:msub></mml:math>",article,1098-0121 | Physical Review B,2015
openalex.org/W2133166829,10.1038/ncomms7490,Translational diffusion of hydration water correlates with functional motions in folded and intrinsically disordered proteins,article,2041-1723 | Nature Communications,2015
openalex.org/W1925886907,10.1021/acs.inorgchem.5b01209,Design of Single-Molecule Magnets: Insufficiency of the Anisotropy Barrier as the Sole Criterion,article,0020-1669 | Inorganic Chemistry,2015
openalex.org/W1993680739,10.1126/science.aaa5137,Near-atomic cryo-EM structure of the helical measles virus nucleocapsid,article,0036-8075 | Science,2015
openalex.org/W3122512836,10.1140/epjc/s10052-015-3329-5,HOLMES,article,1434-6044 | The European Physical Journal C,2015
openalex.org/W2312944328,10.1021/ja510533x,Real-Time Observation of Nonclassical Protein Crystallization Kinetics,article,0002-7863 | Journal of the American Chemical Society,2015
openalex.org/W2308628066,10.1103/physrevlett.115.062501,"Direct Measurement of the Mass Difference of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi>Ho</mml:mi></mml:mrow><mml:mprescripts /><mml:none /><mml:mrow><mml:mn>163</mml:mn></mml:mrow></mml:mmultiscripts></mml:mrow></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi>Dy</mml:mi></mml:mrow><mml:mprescripts /><mml:none /><mml:mrow><mml:mn>163…",article,0031-9007 | Physical Review Letters,2015
openalex.org/W2323687402,10.1107/s1600576715021792,The small-angle neutron scattering instrument D33 at the Institut Laue–Langevin,article,0021-8898 | Journal of Applied Crystallography,2015
openalex.org/W1971337063,10.1007/s10751-015-1154-8,The GBAR antimatter gravity experiment,article,0304-3843 | Hyperfine Interactions,2015
openalex.org/W2143587065,10.1039/c4ta06688j,O3–Na<sub>x</sub>Mn<sub>1/3</sub>Fe<sub>2/3</sub>O<sub>2</sub>as a positive electrode material for Na-ion batteries: structural evolutions and redox mechanisms upon Na<sup>+</sup>(de)intercalation,article,2050-7496 | Journal of Materials Chemistry A,2015
openalex.org/W1905090965,10.1107/s2052252515011239,"Sub-atomic resolution X-ray crystallography and neutron crystallography: promise, challenges and potential",review,2052-2525 | IUCrJ,2015
openalex.org/W2218570313,10.1103/physrevb.92.100303,"From soft harmonic phonons to fast relaxational dynamics in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>CH</mml:mi><mml:mn>3</mml:mn></mml:msub><mml:msub><mml:mi>NH</mml:mi><mml:mn>3</mml:mn></mml:msub><mml:msub><mml:mi>PbBr</mml:mi><mml:mn>3</mml:mn></mml:msub></mml:mrow></mml:math>",article,1098-0121 | Physical Review B,2015
