id,doi,title,type,source,year
WOS:000480363600213,10.1107/s2053273315097879,Neutron macromolecular crystallography at the Institut Laue-Langevin,J,2053-2733 | ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2015
WOS:000349210700038,10.1107/s1600576714024960,High-efficiency diffraction and focusing of X-rays through asymmetric bent crystalline planes,J,0021-8898 | JOURNAL OF APPLIED CRYSTALLOGRAPHY,2015
WOS:000353415600011,10.1080/00223131.2014.984002,Light and heavy water dynamic structure factor for neutron transport codes,J,0022-3131 | JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,2015
WOS:000357262000005,10.1103/physrevc.92.015501,Ultracold neutron accumulation in a superfluid-helium converter with magnetic multipole reflector,J,0556-2813 | PHYSICAL REVIEW C,2015
WOS:000360885600001,10.1103/physrevc.92.034305,Low spin structure of 86Se: Confirmation of γ collectivity at N=52,J,0556-2813 | PHYSICAL REVIEW C,2015
WOS:000358307500050,10.1051/epjconf/20159301050,Neutron-capture experiment on 77Se with EXILL at ILL Grenoble,C,2100-014X | CGS15 - CAPTURE GAMMA-RAY SPECTROSCOPY AND RELATED TOPICS,2015
WOS:000364160300007,10.1103/physrevc.92.055501,New search for the neutron electric dipole moment with ultracold neutrons at ILL,J,0556-2813 | PHYSICAL REVIEW C,2015
WOS:000349672900010,10.1109/tns.2015.2390218,"Performance Study of an Integrated ΔE-E Silicon Detector Telescope using the Lohengrin Fission Fragment Separator at ILL, Grenoble",J,0018-9499 | IEEE TRANSACTIONS ON NUCLEAR SCIENCE,2015
WOS:000750850700031,10.1393/ncc/i2021-21069-6,High-precision spectroscopy of 65Ni via neutron capture,J,2037-4909 | NUOVO CIMENTO C-COLLOQUIA AND COMMUNICATIONS IN PHYSICS,2021
WOS:000354269800001,10.1140/epjp/i2015-15027-3,Novel boron-10-based detectors for neutron scattering science,J,2190-5444 | EUROPEAN PHYSICAL JOURNAL PLUS,2015
WOS:000597812500001,10.1103/physrevc.102.064310,Detailed low-spin spectroscopy of 65Ni via neutron capture reaction,J,2469-9985 | PHYSICAL REVIEW C,2020
WOS:000349593800001,10.1016/j.nuclphysa.2014.11.008,Test of the SO(6) selection rule in 196Pt using cold-neutron capture,J,0375-9474 | NUCLEAR PHYSICS A,2015
WOS:000358307500014,10.1051/epjconf/20159301014,"The (n,γ) campaigns at EXILL",C,2100-014X | CGS15 - CAPTURE GAMMA-RAY SPECTROSCOPY AND RELATED TOPICS,2015
WOS:000566261100060,10.7566/jpscp.14.010903,"Neutron Capture Cross Sections Of The s-Process Branching Points 147Pm, 171Tm and 204Tl",C,nan | PROCEEDINGS OF THE 14TH INTERNATIONAL SYMPOSIUM ON NUCLEI IN THE COSMOS (NIC2016),2016
WOS:000406997600013,10.1088/1748-0221/12/03/p03013,The Multi-Blade Boron-10-based neutron detector for high intensity neutron reflectometry at ESS,J,1748-0221 | JOURNAL OF INSTRUMENTATION,2017
WOS:000360048100001,10.1186/s12870-015-0538-x,"Diffraction evidence for the structure of cellulose microfibrils in bamboo, a model for grass and cereal celluloses",J,1471-2229 | BMC PLANT BIOLOGY,2015
WOS:000352828000055,10.1016/j.jssc.2015.01.006,"Bi1-xNbxO1.5+x (x=0.0625, 0.12) fast ion conductors: Structures, stability and oxide ion migration pathways",J,0022-4596 | JOURNAL OF SOLID STATE CHEMISTRY,2015
WOS:000358848000004,10.1103/physrevc.92.014328,Neutron-proton multiplets in the nucleus 88Br,J,0556-2813 | PHYSICAL REVIEW C,2015
WOS:000367280000009,10.1021/acs.langmuir.5b03349,"Spread Films of Human Serum Albumin at the Air-Water Interface: Optimization, Morphology, and Durability",J,0743-7463 | LANGMUIR,2015
WOS:000381532800022,10.1016/j.matdes.2016.06.028,"Residual stresses evolution in Cu tubes, cold drawn with tilted dies - Neutron diffraction measurements and finite element simulation",J,0264-1275 | MATERIALS & DESIGN,2016
WOS:000398387000051,10.1088/1742-6596/724/1/012051,"Medium-spin states of the neutron-rich 87,89Br isotopes: configurations and shapes",C,"1742-6588 | XXI INTERNATIONAL SCHOOL ON NUCLEAR PHYSICS, NEUTRON PHYSICS AND APPLICATIONS & INTERNATIONAL SYMPOSIUM ON EXOTIC NUCLEI (ISEN-2015)",2016
WOS:000366225200100,10.1016/j.matdes.2015.09.152,Determination of the high temperature elastic properties and diffraction elastic constants of Ni-base superalloys,J,0264-1275 | MATERIALS & DESIGN,2016
WOS:000349310200040,10.1088/0031-8949/90/2/028001,The life and achievements of Erwin-Felix Lewy-Bertaut (1913-2003),J,0031-8949 | PHYSICA SCRIPTA,2015
WOS:000358307500013,10.1051/epjconf/20159301013,The Generalized Centroid Difference method for lifetime measurements via γ-γ coincidences using large fast-timing arrays,C,2100-014X | CGS15 - CAPTURE GAMMA-RAY SPECTROSCOPY AND RELATED TOPICS,2015
WOS:000346060400018,10.1039/c4sm01705f,Structural heterogeneity of milk casein micelles: a SANS contrast variation study,J,1744-683X | SOFT MATTER,2015
WOS:000358023100003,10.1103/physreve.92.012311,Hydrogen self-dynamics in liquid H2-D2 mixtures studied through inelastic neutron scattering,J,1539-3755 | PHYSICAL REVIEW E,2015
WOS:000363068200023,10.1021/acs.energyfuels.5b01217,Guest Migration Revealed in CO2 Clathrate Hydrates,J,0887-0624 | ENERGY & FUELS,2015
WOS:000350497800003,10.1103/physrevb.91.094201,Localized Bose-Einstein condensation in disordered liquid 4He films,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000360581300001,10.1142/s0217751x15300483,Probing Dark Energy models with neutrons,J,0217-751X | INTERNATIONAL JOURNAL OF MODERN PHYSICS A,2015
WOS:000348340400002,10.1007/s13594-014-0177-2,A review of the biology of calcium phosphate sequestration with special reference to milk,J,1958-5586 | DAIRY SCIENCE & TECHNOLOGY,2015
